name,description,module,path
"ux-spec","UX/UI specification workflow for defining user experience and interface design. Creates comprehensive UX documentation including wireframes, user flows, component specifications, and design system guidelines.","bmm","bmad/bmm/workflows/2-plan/ux/workflow.yaml"
"plan-project","Scale-adaptive project planning workflow for all project levels (0-4). Automatically adjusts outputs based on project scope - from single atomic changes (Level 0: tech-spec only) to enterprise platforms (Level 4: full PRD + epics). Level 2-4 route to 3-solutioning workflow for architecture and tech specs. Generates appropriate planning artifacts for each level.","bmm","bmad/bmm/workflows/2-plan/workflow.yaml"
"tech-spec","Generate a comprehensive Technical Specification from PRD and Architecture with acceptance criteria and traceability mapping","bmm","bmad/bmm/workflows/3-solutioning/tech-spec/workflow.yaml"
"solution-architecture","Scale-adaptive solution architecture generation with dynamic template sections. Replaces legacy HLA workflow with modern BMAD Core compliance.","bmm","bmad/bmm/workflows/3-solutioning/workflow.yaml"
"correct-course","Navigate significant changes during sprint execution by analyzing impact, proposing solutions, and routing for implementation","bmm","bmad/bmm/workflows/4-implementation/correct-course/workflow.yaml"
"create-story","Create the next user story markdown from epics/PRD and architecture, using a standard template and saving to the stories folder","bmm","bmad/bmm/workflows/4-implementation/create-story/workflow.yaml"
"dev-story","Execute a story by implementing tasks/subtasks, writing tests, validating, and updating the story file per acceptance criteria","bmm","bmad/bmm/workflows/4-implementation/dev-story/workflow.yaml"
"retrospective","Run after epic completion to review overall success, extract lessons learned, and explore if new information emerged that might impact the next epic","bmm","bmad/bmm/workflows/4-implementation/retrospective/workflow.yaml"
"review-story","Perform a Senior Developer Review on a completed story flagged Ready for Review, leveraging story-context, epic tech-spec, repo docs, MCP servers for latest best-practices, and web search as fallback. Appends structured review notes to the story.","bmm","bmad/bmm/workflows/4-implementation/review-story/workflow.yaml"
"story-approved","Marks a story as done (DoD complete) and moves it from IN PROGRESS → DONE in the status file. Advances the story queue. Simple status-update workflow with no searching required.","bmm","bmad/bmm/workflows/4-implementation/story-approved/workflow.yaml"
"story-context","Assemble a dynamic Story Context XML by pulling latest documentation and existing code/library artifacts relevant to a drafted story","bmm","bmad/bmm/workflows/4-implementation/story-context/workflow.yaml"
"story-ready","Marks a drafted story as ready for development and moves it from TODO → IN PROGRESS in the status file. Simple status-update workflow with no searching required.","bmm","bmad/bmm/workflows/4-implementation/story-ready/workflow.yaml"
"testarch-atdd","Generate failing acceptance tests before implementation.","bmm","bmad/bmm/workflows/testarch/atdd/workflow.yaml"
"testarch-automate","Expand automation coverage after implementation.","bmm","bmad/bmm/workflows/testarch/automate/workflow.yaml"
"testarch-ci","Scaffold or update the CI/CD quality pipeline.","bmm","bmad/bmm/workflows/testarch/ci/workflow.yaml"
"testarch-framework","Initialize or refresh the test framework harness.","bmm","bmad/bmm/workflows/testarch/framework/workflow.yaml"
"testarch-gate","Record the quality gate decision for the story.","bmm","bmad/bmm/workflows/testarch/gate/workflow.yaml"
"testarch-nfr","Assess non-functional requirements before release.","bmm","bmad/bmm/workflows/testarch/nfr-assess/workflow.yaml"
"testarch-plan","Plan risk mitigation and test coverage before development.","bmm","bmad/bmm/workflows/testarch/test-design/workflow.yaml"
"testarch-trace","Trace requirements to implemented automated tests.","bmm","bmad/bmm/workflows/testarch/trace/workflow.yaml"
